== EXP-066 POST-HOC POLICY PROBE ==

Exploratory, post hoc, NOT pre-registered, SIGNS NOTHING.
Engine pin a5e8bcfc5646827e9be49a9629f8a6a9678c814b, golden match hash re-checked by the runner's own gates.
Every champion is read from exp066_champions_{s,l,d}.eterm in this directory.
The pilot encoder and the match loop are the runner's OWN compiled code, reached through an export_all view built from its beam's debug_info.
held-out starts requested = 80, used = 80, both seats always, so matches per opponent = 160

COLUMNS
  W            win rate (alive and opponent dead), the feed's own rule
  shots/hits   gun_heat zero-to-nonzero transitions, and of those the ones whose bullet reaches the victim inside HIT_R AND for which the engine credited the shooter damage on that same turn (see section A)
  cf_hit       the SAME bullet against a GHOST victim that holds the velocity it had when the shot left the barrel
  weave        missed the real champion, hit the ghost: a shot the champion's change of velocity defeated
  blind        missed both: a shot already aimed wrong when it left the barrel
  latmiss      mean absolute lateral miss at closest approach, whole units, against HIT_R = 20
  devlat       of that, the part explained by the victim departing from its fire-time velocity
  estlat       of that, the part explained by the bot's own velocity ESTIMATE being wrong at fire time
  fresh        share of turns on which the bot held a scan from THIS turn, which is its precondition for firing at all
  velzero      share of turns on which the bot's enemy_vel/1 returned standing still (never seen twice, or a scan gap over 8)
  bodyflip     sign changes per 100 turns in the COMMANDED turn_body
  vperp        mean own speed PERPENDICULAR to the line of sight, whole units per turn: the quantity the lead solver extrapolates
  mypow/oppow  mean commanded shot power, in tenths. The floor bot's own budget rule drops it from 30 to 20 beyond 150 units of range and to 10 beyond 350, and damage per hit is 16, 10 and 4 units respectively
  ram          turns per match with the tanks overlapping. Ram contact costs BOTH tanks 0.6 energy a turn and robo_sim credits it to nobody, so it never appears in dealt or taken
  latflip      sign changes per 100 turns in cross(line of sight, own velocity): reversals of the quantity the lead solver extrapolates
  range        mean tank separation over the match, whole units

SELF-CHECK. bullets counted as hitting by this module's own walk must equal the engine's damage credits; dealt/taken are read from #tank.damage_dealt and printed beside them.

-- 0. THE LOOP, VERIFIED BY RECOMPUTATION AGAINST THE ARCHIVED FEED --

Four columns of the arm S block of exp066_floor_feed.txt, recomputed through THIS module's match loop. Agreement to the digit is what licenses everything below it: it shows the loop is driving the archived code over the archived starts and not something nearby.

seed          W        L    margin    shots    pulls
2001     0.9750   0.0250     67.23    11.96    71.94
2008     0.9750   0.0250     71.92    11.28   123.84
2015     0.4188   0.5813    -15.89     8.09   121.20

feed, seed 2001: W=0.9750 L=0.0250 margin=67.23 shots=11.96 pulls=71.94
feed, seed 2008: W=0.9750 L=0.0250 margin=71.92 shots=11.28 pulls=123.84
feed, seed 2015: W=0.4188 L=0.5813 margin=-15.89 shots=8.09 pulls=121.20

-- A. SELF-CHECK ON THE BULLET WALK --

A HIT here means BOTH that this module's bullet walk reached the victim inside HIT_R and that the engine credited the shooter damage on that very turn. The walk supplies the geometry, the ENGINE supplies the count.

  hits counted, every match in this file        = 66316
  turns on which the engine credited damage     = 66316  (must equal the line above)
  of those hits, ones whose credited damage equals robo_sim:damage/1 of the arriving bullet's own power = 66316
  walk reached the victim but the engine credited nobody = 24  (robo_sim resolves rams and wall contact BEFORE bullets, so a point-blank shot into a tank the same step has already killed is excluded by first_hit/2)
  engine credited a turn the walk did not reach = 0
  turns whose credit exceeds the engine's maximum for one hit, 4096 at power 30 = 0

-- B. THE GUN EXCHANGE. Rows A1-A4 are the CONTROL: the floor bot against the four scripted rungs it already beats.

who              W |  shots  hits   rate     cf weave blind |  fresh velzro flight shotrg  mind latmis devlat estlat |  shots  hits   rate   dealt   taken
s    2015   0.4188 |   7.61  5.49 0.7214 0.6721  0.86  1.26 | 0.7718 0.0799    6.3  140.8  20.1  14.34   8.37   6.30 |   8.09  3.26 0.4034   52.13   68.02
s    2016   0.8000 |  16.45  3.95 0.2401 0.4286  5.04  7.46 | 0.7225 0.0515   11.0  218.3  47.9  41.63  32.81  12.35 |  17.70  5.25 0.2966   83.94   37.24
s    2017   1.0000 |  11.24  2.58 0.2291 0.3042  2.82  5.84 | 0.6729 0.0463   10.6  210.8  39.4  34.22  28.55  14.46 |  10.19  6.36 0.6245  101.59   21.81
s    2018   0.6062 |   7.28  5.01 0.6884 0.7322  1.15  1.12 | 0.5992 0.1153    5.6  135.1  20.3  15.37   9.88   7.22 |   8.32  4.12 0.4947   65.25   63.15
s    2019   0.9812 |  10.97  4.55 0.4148 0.3960  1.15  5.27 | 0.4142 0.0715    9.0  200.8  34.6  30.90  12.62  22.35 |  11.47  7.05 0.6144  111.58   40.62
s    2020   0.9875 |  15.36  2.85 0.1855 0.3299  4.57  7.94 | 0.6135 0.0874   10.4  203.0  41.6  36.31  28.22  15.06 |  17.43  5.99 0.3435   95.60   24.40
l    2001   0.9750 |  14.09  4.09 0.2906 0.5825  6.00  3.99 | 0.3845 0.0601    7.9  184.1  25.8  23.02  16.75  13.36 |  13.86  6.53 0.4707  102.89   39.75
l    2002   0.9563 |  13.24  5.56 0.4197 0.4844  2.63  5.05 | 0.4060 0.0637    8.4  191.2  30.0  25.95  10.04  17.48 |  13.68  7.24 0.5295  112.56   52.87
l    2003   0.9375 |  10.64  3.91 0.3678 0.2074  1.39  5.34 | 0.9040 0.0397   14.9  256.2  37.9  28.75  24.63  20.48 |  10.07  6.56 0.6511  104.90   35.32
l    2004   0.9375 |  15.26  3.79 0.2487 0.6206  7.74  3.73 | 0.4314 0.0612    8.2  191.3  28.1  25.08  19.06  12.91 |  14.66  6.17 0.4207   96.44   33.02
l    2005   0.9375 |  11.74  4.07 0.3466 0.3839  1.14  6.53 | 0.3644 0.0726    7.9  183.4  33.1  29.93  11.45  24.12 |  13.18  6.53 0.4950  104.40   38.94
l    2006   0.9437 |  10.97  4.76 0.4334 0.3821  2.19  4.03 | 0.4985 0.0691    8.9  194.3  27.5  22.78  16.61  18.57 |  11.45  6.93 0.6053  110.90   43.53
l    2007   0.5062 |   7.72  5.17 0.6696 0.6883  1.36  1.19 | 0.7639 0.0802    6.2  141.8  21.3  16.12  12.06   6.24 |   8.53  3.91 0.4586   62.42   68.20
l    2008   0.5938 |   7.28  4.79 0.6581 0.6847  1.25  1.24 | 0.7424 0.0800    6.3  146.3  22.0  16.95  11.85   6.42 |   8.16  3.95 0.4839   61.90   61.35
l    2009   0.9750 |  10.34  3.98 0.3849 0.3625  1.14  5.22 | 0.3731 0.0786    8.2  191.1  33.0  28.43  10.40  21.04 |  11.58  6.81 0.5882  109.00   37.92
l    2010   0.9625 |  17.64  2.77 0.1570 0.4855  7.82  7.05 | 0.7543 0.0438   11.4  221.5  56.0  48.95  38.79  13.10 |  15.49  6.76 0.4366   87.66   23.91
d    2001   0.9750 |  12.59  2.41 0.1912 0.4980  5.49  4.69 | 0.8834 0.0380   10.0  198.8  46.5  39.13  32.73  11.95 |  11.66  6.19 0.5308   96.22   22.88
d    2002   0.9313 |  10.09  1.92 0.1901 0.2440  2.01  6.17 | 0.5526 0.1230    9.9  205.5  45.9  40.89  30.29  18.09 |  12.54  6.20 0.4945   95.10   18.25
d    2003   0.9563 |   8.81  1.75 0.1986 0.2418  1.75  5.31 | 0.5076 0.1453    9.6  197.9  42.0  37.89  27.83  18.32 |  11.18  6.14 0.5495   97.03   17.94
d    2004   0.9625 |  12.94  1.75 0.1353 0.4217  4.87  6.32 | 0.7507 0.0516   11.5  226.7  58.1  50.80  40.07  14.28 |  13.51  5.72 0.4239   90.24   17.46
d    2005   0.9250 |  12.86  2.79 0.2168 0.2761  3.01  7.06 | 0.4817 0.1479    9.2  187.3  39.7  35.30  24.31  18.44 |  17.88  5.92 0.3311   94.70   26.38
d    2006   0.9313 |  13.41  2.85 0.2125 0.4292  4.76  5.81 | 0.8997 0.0346   11.4  212.5  51.3  43.43  37.27  13.32 |  12.59  5.94 0.4722   93.39   28.17
d    2007   0.9313 |  11.30  1.68 0.1482 0.5868  5.86  3.77 | 0.7121 0.0655   10.1  205.3  49.3  44.39  36.87  10.94 |  11.48  5.63 0.4905   89.19   18.19
d    2008   0.9688 |  12.28  2.41 0.1960 0.4929  5.16  4.71 | 0.8488 0.0465   10.2  203.3  47.7  40.93  34.97  12.83 |  11.58  6.04 0.5219   93.99   22.44
d    2009   0.8625 |  13.43  2.36 0.1755 0.4316  4.75  6.32 | 0.7421 0.0505   11.2  222.8  54.6  47.72  38.06  12.83 |  13.11  5.42 0.4139   85.89   22.44
d    2010   0.9688 |  12.30  2.33 0.1895 0.4675  5.08  4.89 | 0.8540 0.0408    9.9  198.5  47.3  40.56  33.97  11.41 |  12.03  6.17 0.5135   95.86   21.94

-- C. THE BODY. What the champion is doing while that happens.

who              W |  range  bflip   babs  lflip  vperp   velm |  mypow  oppow | wallme wallop    ram
A1   ****** 0.0000 |  216.3    0.0   0.00    0.0   0.00   0.00 |   0.00  21.08 |   0.00   0.42   1.47
A2   ****** 0.0000 |  202.7    0.5  23.21    5.6   4.78   7.90 |   0.00  17.38 |   0.03   0.75   6.69
A3   rammer 0.0125 |  130.3   11.7  15.58    1.3   3.17   7.13 |  18.83  26.20 |   0.33   0.22  10.13
A4   ****** 0.0000 |  226.7    2.6   7.39    0.5   7.07   7.76 |  17.05  19.47 |   0.00   0.00   0.00
s    2001   0.9750 |  183.8   28.3   6.63    0.5   5.99   7.07 |  29.22  18.14 |   0.22   0.03   0.36
s    2002   0.9375 |  184.8   31.9   6.63    0.8   6.61   7.66 |  28.95  18.04 |   0.07   0.00   0.01
s    2003   1.0000 |  294.0   65.6   6.47    0.5   5.92   7.81 |  29.15  17.33 |   0.11   0.00   0.11
s    2004   0.9938 |  191.8   38.1   6.38    0.5   6.78   7.83 |  29.09  17.75 |   0.17   0.03   0.30
s    2005   0.9938 |  185.9   39.1   6.41    0.4   6.73   7.82 |  28.41  17.75 |   0.54   0.00   0.07
s    2006   0.9938 |  188.1   35.1   6.30    0.7   6.59   7.79 |  29.44  18.04 |   0.19   0.00   0.35
s    2007   0.5813 |  120.0   26.3   6.64    4.1   2.11   4.18 |  29.98  23.40 |   0.11   1.13  45.02
s    2008   0.9750 |  182.7   28.0   5.14    0.9   6.55   7.72 |  29.35  18.12 |   0.10   0.00   0.90
s    2009   0.5750 |  123.0   30.1   6.74    3.2   2.40   4.50 |  29.54  23.36 |   0.13   1.44  45.70
s    2010   0.9875 |  214.6   28.8   6.54    4.4   5.33   5.96 |  29.50  17.53 |   0.12   0.00   0.57
s    2011   0.5375 |  129.3   31.7   6.44    1.7   2.64   4.59 |  29.80  23.32 |   0.68   1.47  43.17
s    2012   1.0000 |  198.3   39.4   6.67    3.4   5.07   5.93 |  28.71  17.71 |   0.27   0.03   0.00
s    2013   0.9750 |  308.3   47.9   6.42    0.4   5.28   7.89 |  29.12  16.87 |   0.63   0.00   0.00
s    2014   0.5813 |  113.7   33.6   6.72    4.2   1.99   4.25 |  29.97  23.60 |   0.19   1.73  48.23
s    2015   0.4188 |  126.7   28.1   6.59    1.7   3.10   4.99 |  29.96  22.97 |   0.69   1.48  41.72
s    2016   0.8000 |  205.6   23.1   6.68    5.6   4.77   7.62 |  29.95  17.94 |   0.29   0.10   9.54
s    2017   1.0000 |  207.5   37.7   6.22    6.4   4.91   5.64 |  29.57  17.39 |   0.17   0.00   0.01
s    2018   0.6062 |  118.6   32.3   6.63    2.7   2.87   5.06 |  29.61  23.00 |   0.21   0.90  42.88
s    2019   0.9812 |  190.8   36.2   6.46    0.5   6.71   7.78 |  29.17  17.79 |   0.44   0.00   0.12
s    2020   0.9875 |  196.8    5.1   6.92    8.7   3.87   5.62 |  29.96  17.20 |   0.16   0.03   0.76
l    2001   0.9750 |  165.9   16.9   6.38    0.7   5.93   7.81 |  28.52  18.50 |   0.01   0.00   0.69
l    2002   0.9563 |  183.5   18.1   5.85    0.6   6.60   7.87 |  28.80  18.21 |   0.10   0.00   0.09
l    2003   0.9375 |  254.3   25.6   5.45    0.6   5.11   6.18 |  30.00  17.39 |   0.24   0.00   0.41
l    2004   0.9375 |  174.8    9.8   6.49    0.5   5.95   7.79 |  27.33  17.77 |   0.00   0.00   1.14
l    2005   0.9375 |  175.4   25.2   4.85    0.5   6.64   7.88 |  30.00  18.42 |   0.29   0.00   0.30
l    2006   0.9437 |  187.2   21.9   4.88    1.5   4.91   5.98 |  29.96  18.17 |   0.10   0.00   0.98
l    2007   0.5062 |  125.8   19.4   5.92    3.1   3.02   5.29 |  29.91  23.89 |   0.57   2.50  38.41
l    2008   0.5938 |  125.8   20.5   5.90    2.3   2.63   4.80 |  29.40  23.15 |   0.81   1.68  45.66
l    2009   0.9750 |  181.7   24.2   5.43    0.6   6.59   7.77 |  29.98  18.08 |   0.26   0.00   0.93
l    2010   0.9625 |  213.4    8.8   6.27    6.6   4.56   6.69 |  24.77  17.37 |   0.03   0.06   1.46
d    2001   0.9750 |  195.3    0.1   7.00    6.0   4.12   6.75 |  29.05  18.86 |   0.00   0.00   0.65
d    2002   0.9313 |  189.7    0.1   7.00   11.7   3.53   5.62 |  28.68  18.11 |   0.09   0.23   3.86
d    2003   0.9563 |  183.2    0.6   6.99   13.5   3.36   5.49 |  28.95  18.45 |   0.06   0.04   2.36
d    2004   0.9625 |  214.9   12.2   6.75    6.1   4.63   7.55 |  29.37  18.09 |   0.69   0.17   2.99
d    2005   0.9250 |  176.8    2.2   6.97   13.5   3.40   5.46 |  30.00  18.18 |   0.01   0.00   3.08
d    2006   0.9313 |  209.4   10.8   6.77    5.4   4.34   6.96 |  28.91  18.64 |   0.13   0.00   1.44
d    2007   0.9313 |  194.6   10.5   6.78    9.3   3.94   6.14 |  29.33  18.58 |   0.02   0.09   3.76
d    2008   0.9688 |  198.1    0.3   6.99    6.4   4.13   6.75 |  28.96  18.54 |   0.04   0.00   1.64
d    2009   0.8625 |  211.3   17.7   6.77    5.7   4.71   7.62 |  29.32  17.83 |   2.14   0.19   4.98
d    2010   0.9688 |  192.6    0.7   6.98    5.5   4.45   7.26 |  28.90  18.71 |   0.00   0.06   1.54

-- D. THE TWO MODES OF ARM S, split on mean standoff range at 150 whole units. The split is not a chosen threshold: no arm S seed has a mean range between 129.3 and 182.7, so any cut in that 53-unit gap gives the same two groups.

                                         STANDOFF          BRAWL
seeds                                          14              6
held-out win rate                          0.9875         0.5813
mean standoff range, units               196.8241       122.9816
ram-contact turns per match                0.3000        45.0250
lateral sign changes per 100 turns         0.8205         3.2016
own lateral speed, units per turn          5.9861         2.6447
floor bot shots per match                 11.9500         7.2813
floor bot HIT RATE                         0.3533         0.7140
same shots against a CONSTANT-VELO         0.3620         0.7077
bot misses that also miss the ghos         0.8025         0.5722
bot mean shot power, tenths               17.7530        23.3619
champion shots per match                  12.0188         8.0875
champion HIT RATE                          0.5740         0.4803
champion mean shot power, tenths          29.2196        29.9606
damage dealt per match, units            107.0342        60.6873
damage taken per match, units             37.2441        63.4330

seeds, standoff = [2001,2002,2003,2004,2005,2006,2008,2010,2012,2013,2016,
                   2017,2019,2020]
seeds, brawl    = [2007,2009,2011,2014,2015,2018]

-- E. RANGE HISTOGRAM, 25-UNIT BUCKETS, share of turns. Columns are 0-25, 25-50, ... 575-600.

sitting_duck     W=0.0000 0.000 0.017 0.018 0.039 0.060 0.085 0.102 0.149 0.171 0.105 0.061 0.047 0.039 0.021 0.016 0.012 0.009 0.008 0.008 0.007 0.004 0.006 0.003 0.004 
spinner          W=0.0000 0.002 0.010 0.029 0.058 0.075 0.077 0.111 0.127 0.122 0.140 0.097 0.057 0.035 0.027 0.019 0.004 0.002 0.002 0.002 0.001 0.001 0.001 0.001 0.001 
rammer           W=0.0125 0.048 0.030 0.046 0.344 0.269 0.057 0.040 0.027 0.023 0.018 0.013 0.012 0.009 0.008 0.009 0.009 0.006 0.005 0.006 0.004 0.003 0.004 0.002 0.003 
circle_strafer   W=0.0000 0.000 0.000 0.001 0.001 0.001 0.004 0.021 0.089 0.713 0.056 0.026 0.018 0.010 0.009 0.009 0.008 0.005 0.005 0.005 0.004 0.003 0.004 0.001 0.003 
s 2001           W=0.9750 0.001 0.002 0.002 0.004 0.013 0.146 0.522 0.156 0.040 0.022 0.017 0.013 0.010 0.008 0.008 0.006 0.005 0.004 0.005 0.003 0.002 0.003 0.002 0.002 
s 2002           W=0.9375 0.000 0.000 0.001 0.004 0.010 0.092 0.539 0.221 0.028 0.021 0.014 0.012 0.010 0.008 0.007 0.006 0.005 0.004 0.004 0.003 0.002 0.003 0.001 0.002 
s 2003           W=1.0000 0.000 0.000 0.000 0.001 0.002 0.005 0.010 0.017 0.028 0.058 0.115 0.314 0.373 0.023 0.011 0.009 0.006 0.005 0.005 0.004 0.003 0.003 0.002 0.002 
s 2004           W=0.9938 0.000 0.001 0.001 0.003 0.010 0.060 0.599 0.145 0.035 0.026 0.019 0.018 0.015 0.012 0.010 0.009 0.006 0.006 0.005 0.004 0.004 0.003 0.002 0.003 
s 2005           W=0.9938 0.000 0.001 0.002 0.003 0.009 0.065 0.654 0.128 0.024 0.021 0.015 0.013 0.010 0.009 0.008 0.007 0.006 0.005 0.005 0.003 0.002 0.003 0.002 0.002 
s 2006           W=0.9938 0.001 0.002 0.003 0.006 0.014 0.107 0.558 0.143 0.026 0.024 0.020 0.017 0.014 0.011 0.011 0.009 0.006 0.005 0.005 0.005 0.003 0.003 0.002 0.002 
s 2007           W=0.5813 0.324 0.071 0.046 0.069 0.097 0.096 0.064 0.045 0.030 0.027 0.019 0.017 0.015 0.012 0.012 0.010 0.007 0.007 0.007 0.006 0.004 0.005 0.003 0.003 
s 2008           W=0.9750 0.002 0.003 0.002 0.003 0.016 0.103 0.652 0.075 0.028 0.021 0.015 0.013 0.009 0.008 0.009 0.007 0.005 0.005 0.005 0.004 0.002 0.004 0.002 0.003 
s 2009           W=0.5750 0.330 0.054 0.043 0.072 0.111 0.101 0.057 0.038 0.030 0.024 0.019 0.018 0.014 0.013 0.012 0.014 0.008 0.007 0.007 0.006 0.004 0.005 0.003 0.004 
s 2010           W=0.9875 0.001 0.002 0.000 0.001 0.003 0.010 0.046 0.397 0.388 0.053 0.020 0.014 0.011 0.008 0.008 0.007 0.005 0.005 0.005 0.003 0.002 0.003 0.002 0.002 
s 2011           W=0.5375 0.307 0.046 0.035 0.068 0.090 0.096 0.095 0.060 0.037 0.026 0.020 0.019 0.015 0.013 0.012 0.011 0.009 0.006 0.008 0.007 0.003 0.004 0.002 0.004 
s 2012           W=1.0000 0.000 0.000 0.000 0.003 0.012 0.067 0.415 0.288 0.052 0.032 0.025 0.019 0.014 0.012 0.011 0.008 0.007 0.005 0.006 0.006 0.004 0.004 0.002 0.003 
s 2013           W=0.9750 0.000 0.000 0.000 0.001 0.002 0.002 0.005 0.009 0.014 0.034 0.076 0.176 0.457 0.174 0.012 0.008 0.006 0.005 0.005 0.004 0.002 0.002 0.002 0.002 
s 2014           W=0.5813 0.367 0.061 0.050 0.064 0.090 0.096 0.056 0.038 0.027 0.023 0.018 0.017 0.012 0.010 0.013 0.011 0.008 0.006 0.006 0.006 0.004 0.006 0.003 0.004 
s 2015           W=0.4188 0.270 0.093 0.039 0.056 0.103 0.116 0.081 0.047 0.032 0.027 0.021 0.017 0.015 0.013 0.013 0.011 0.006 0.007 0.007 0.005 0.004 0.004 0.002 0.004 
s 2016           W=0.8000 0.022 0.018 0.013 0.022 0.034 0.070 0.162 0.149 0.132 0.131 0.110 0.073 0.015 0.007 0.006 0.007 0.004 0.004 0.004 0.003 0.002 0.002 0.001 0.002 
s 2017           W=1.0000 0.000 0.000 0.001 0.002 0.005 0.018 0.102 0.547 0.196 0.032 0.018 0.015 0.009 0.008 0.009 0.007 0.005 0.005 0.006 0.003 0.002 0.003 0.001 0.002 
s 2018           W=0.6062 0.279 0.088 0.063 0.082 0.106 0.089 0.077 0.053 0.030 0.021 0.016 0.014 0.011 0.010 0.010 0.010 0.007 0.006 0.006 0.004 0.003 0.004 0.002 0.003 
s 2019           W=0.9812 0.000 0.001 0.001 0.003 0.011 0.071 0.581 0.169 0.027 0.022 0.018 0.016 0.014 0.011 0.011 0.009 0.005 0.005 0.005 0.005 0.003 0.003 0.002 0.003 
s 2020           W=0.9875 0.002 0.002 0.002 0.004 0.015 0.033 0.201 0.464 0.180 0.023 0.014 0.012 0.008 0.006 0.006 0.005 0.004 0.003 0.004 0.003 0.002 0.002 0.002 0.002 
l 2001           W=0.9750 0.001 0.001 0.002 0.004 0.050 0.413 0.358 0.068 0.025 0.017 0.010 0.008 0.007 0.006 0.006 0.005 0.003 0.003 0.003 0.002 0.002 0.002 0.001 0.001 
l 2002           W=0.9563 0.000 0.001 0.002 0.003 0.012 0.126 0.431 0.278 0.061 0.020 0.011 0.009 0.006 0.005 0.006 0.005 0.004 0.003 0.004 0.003 0.002 0.002 0.001 0.002 
